FileName,User,Sys
regexec.c,13.53,169.32999999999998
toke.c,18.22,184.87999999999997
op.c,18.34,32.18000000000001
utf8.c,4.31,5.6899999999999995
reentr.c,0.33000000000000007,0.3400000000000001
Glob.c,1.31,1.6199999999999999
attributes.c,0.8899999999999998,0.9999999999999998
pp.c,14.51,19.840000000000003
sha.c,0.33,0.35000000000000003
perllib.c,0.28,0.27
IO.c,1.5100000000000002,1.6199999999999999
gv.c,6.2700000000000005,8.51
util.c,4.52,5.289999999999999
FieldHash.c,1.2100000000000002,1.2900000000000003
run.c,0.33000000000000007,0.37000000000000005
taint.c,0.51,0.49999999999999994
Hostname.c,0.38000000000000006,0.39000000000000007
dump.c,5.170000000000001,6.029999999999999
perlapi.c,0.27999999999999997,0.33999999999999997
NamedCapture.c,0.8300000000000002,0.8699999999999999
parser-util.c,0.29,0.24999999999999997
time64.c,0.19999999999999998,0.20999999999999996
mro.c,1.64,2.15
Peek.c,1.6100000000000003,1.68
win32io.c,0.26,0.27
universal.c,3.8999999999999995,4.46
deb.c,0.7200000000000001,0.8000000000000002
perlio.c,5.1499999999999995,5.7
hv.c,5.1899999999999995,6.68
doio.c,2.99,4.01
arybase.c,1.5200000000000005,1.5899999999999999
vutil.c,0.20999999999999996,0.20999999999999996
scalar.c,1.0099999999999998,1.0099999999999998
keywords.c,5.039999999999999,6.16
win32.c,0.27,0.28
pp_pack.c,5.78,37.650000000000006
re_exec.c,12.449999999999998,161.74
Cwd.c,1.21,1.33
pp_sys.c,7.539999999999999,9.05
poll.c,0.47,0.5499999999999999
pp_hot.c,7.879999999999999,11.240000000000002
pp_ctl.c,12.690000000000001,19.03
pad.c,3.26,3.51
re.c,0.45999999999999996,0.5599999999999999
perly.c,2.48,6.369999999999999
ListUtil.c,5.380000000000001,6.62
MD5.c,1.9699999999999998,1.9999999999999998
bsd_glob.c,1.21,1.3800000000000003
stdio.c,0.36000000000000004,0.3400000000000001
specrand.c,0.41999999999999993,0.39999999999999997
mg.c,16.22,16.69
Parser.c,5.23,6.83
sha64bit.c,0.41000000000000003,0.38000000000000006
HiRes.c,1.56,1.5999999999999999
av.c,1.6099999999999999,1.68
sv.c,15.33,33.64
hparser.c,0.22999999999999995,0.22999999999999998
feature_tests.c,0.37000000000000005,0.34
regcomp.c,22.920000000000005,89.82000000000001
globals.c,1.48,1.47
doop.c,2.4000000000000004,3.43
pp_sort.c,2.6,4.16
mro_core.c,11.88,13.68
Opcode.c,1.71,1.8199999999999998
mathoms.c,5.220000000000001,4.96
locale.c,0.8699999999999999,0.8200000000000001
perl.c,4.91,5.779999999999999
dquote.c,0.24999999999999997,0.22
caretx.c,0.4,0.42000000000000004
perlmain.c,0.41,0.41999999999999993
via.c,1.5300000000000002,1.64
Storable.c,13.530000000000003,16.529999999999998
SHA.c,5.22,5.21
win32thread.c,0.29000000000000004,0.31000000000000005
Base64.c,1.37,1.5699999999999998
sdf.c,0.26999999999999996,0.29
DynaLoader.c,0.5199999999999999,0.49999999999999994
Util.c,1.2200000000000002,1.35
numeric.c,2.32,2.64
Dumper.c,3.3899999999999997,7.8100000000000005
re_comp.c,29.08,140.96
CMakeCCompilerId.c,0.41000000000000003,0.4
scope.c,2.14,2.6099999999999994
win32sck.c,0.26,0.27
