FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
wasm_runtime.c,tables_instantiate-0,"set(['10', '3'])",set([])
wasm_runtime.c,globals_instantiate-0,"set(['10', '23'])",set([])
wasm_runtime.c,memories_instantiate-0,"set(['3', '7'])",set([])
wasm_runtime.c,wasm_instantiate-6,set(['35']),set([])
posix.c,fd_prestats_grow-0,set(['29']),set([])
posix.c,wasmtime_ssp_path_open-0,"set(['55', '38'])",set([])
posix.c,wasmtime_ssp_fd_pwrite-5,set(['25']),set([])
posix.c,wasmtime_ssp_fd_pwrite-0,set(['25']),set([])
posix.c,wasmtime_ssp_fd_readdir-0,"set(['12', '29'])",set([])
posix.c,fd_table_unused-0,"set(['1', '4'])",set([])
posix.c,readlinkat_dup-0,set(['1']),set([])
posix.c,wasmtime_ssp_fd_close-0,set(['3']),set([])
posix.c,wasmtime_ssp_fd_renumber-0,set(['5']),set([])
posix.c,wasmtime_ssp_path_link-0,set(['15']),set([])
posix.c,fd_table_grow-0,set(['29']),set([])
posix.c,path_get-4,set(['5']),set([])
aot_reloc_x86_64.c,apply_relocation-0,set(['7']),set([])
wasm_interp_fast.c,copy_stack_values-0,set(['5']),set([])
wasm_c_api.c,wasm_table_set-0,"set(['10', '12'])",set([])
wasm_c_api.c,wasm_table_get-0,"set(['8', '6'])",set([])
wasm_c_api.c,params_to_argv-0,"set(['8', '16'])",set([])
wasm_c_api.c,wasm_ref_new_internal-0,set(['9']),set([])
aot_loader.c,load_object_data_sections-0,"set(['3', '31'])",set([])
aot_loader.c,do_text_relocation-0,set(['10']),set([])
aot_loader.c,load_table_init_data_list-0,"set(['3', '75'])",set([])
aot_loader.c,load_func_types-0,set(['3']),set([])
aot_loader.c,load_mem_init_data_list-0,"set(['3', '65'])",set([])
aot_loader.c,load_relocation_section-0,set(['161']),set([])
aot_runtime.c,aot_module_malloc-0,set(['17']),set([])
libc_builtin_wrapper.c,_vprintf_wa-10,"set(['3', '119', '117', '118'])",set([])
libc_builtin_wrapper.c,_vprintf_wa-0,"set(['3', '119', '117', '97', '118'])",set([])
libc_builtin_wrapper.c,_vprintf_wa-13,"set(['117', '119', '3', '118'])",set([])
random.c,random_uniform-0,"set(['1', '4'])",set([])
wasm_loader.c,get_section_index-0,set(['7']),set([])
wasm_loader.c,wasm_loader_find_block_addr-11,"set(['56', '7', '126'])",set([])
wasm_loader.c,load_user_section-2,set(['6']),set([])
wasm_loader.c,load_table_index-2,set(['4']),set([])
wasm_loader.c,load_func_index_vec-4,set(['4']),set([])
wasm_loader.c,load_func_index_vec-0,"set(['11', '23'])",set([])
wasm_loader.c,load_start_section-2,set(['4']),set([])
wasm_loader.c,wasm_loader_prepare_bytecode-30,"set(['147', '13', '1267', '52', '60', '3'])",set([])
wasm_loader.c,load_import_section-10,set(['11']),set([])
wasm_loader.c,load_import_section-11,"set(['11', '46', '114', '183'])",set([])
wasm_loader.c,load_import_section-13,"set(['11', '183'])",set([])
wasm_loader.c,load_import_section-14,set(['11']),set([])
wasm_loader.c,load_table_segment_section-4,set(['4']),set([])
wasm_loader.c,load_function_section-14,set(['22']),set([])
wasm_loader.c,load_function_section-11,set(['4']),set([])
wasm_loader.c,load_function_section-10,"set(['27', '22'])",set([])
wasm_loader.c,load_code_section-2,set(['4']),set([])
wasm_loader.c,preserve_local_for_block-0,"set(['1', '11'])",set([])
wasm_loader.c,create_sections-2,"set(['1', '17'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-24,"set(['3', '1267', '13', '266'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-25,"set(['1293', '3', '1267', '13', '848'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-26,"set(['855', '3', '1267', '13', '1293'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-20,"set(['3', '13'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-21,"set(['1293', '3', '1267', '13', '431'])",set([])
wasm_loader.c,wasm_loader_push_pop_frame_ref-0,set(['7']),set([])
wasm_loader.c,load_global_section-0,"set(['11', '25', '32'])",set([])
wasm_loader.c,load_global_section-4,set(['4']),set([])
wasm_loader.c,load_type_section-7,set(['4']),set([])
wasm_loader.c,load_type_section-6,"set(['11', '23'])",set([])
wasm_loader.c,load_type_section-5,set(['11']),set([])
wasm_loader.c,check_branch_block-2,set(['4']),set([])
wasm_loader.c,load_memory_section-4,set(['4']),set([])
wasm_loader.c,load_function_section-3,set(['22']),set([])
wasm_loader.c,load_function_section-4,"set(['46', '22'])",set([])
wasm_loader.c,load_table_section-4,set(['4']),set([])
wasm_loader.c,load_from_sections-0,"set(['137', '141'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-7,set(['3']),set([])
wasm_loader.c,wasm_loader_prepare_bytecode-0,set(['1294']),set([])
wasm_loader.c,wasm_loader_prepare_bytecode-2,"set(['3', '1267', '13', '1232'])",set([])
wasm_loader.c,load_import_section-9,set(['4']),set([])
wasm_loader.c,load_import_section-3,"set(['11', '114', '183'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-19,"set(['13', '3'])",set([])
wasm_loader.c,load_data_segment_section-3,"set(['11', '16'])",set([])
wasm_loader.c,load_data_segment_section-2,"set(['11', '27'])",set([])
wasm_loader.c,load_data_segment_section-5,set(['4']),set([])
wasm_loader.c,wasm_loader_prepare_bytecode-17,"set(['3', '1267', '13', '377'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-16,"set(['3', '13'])",set([])
wasm_loader.c,load_export_section-3,"set(['11', '16'])",set([])
wasm_loader.c,load_export_section-7,set(['4']),set([])
wasm_loader.c,load_export_section-4,"set(['11', '42'])",set([])
wasm_loader.c,wasm_loader_find_block_addr-5,set(['7']),set([])
wasm_loader.c,wasm_loader_find_block_addr-0,"set(['124', '7', '126'])",set([])
wasm_loader.c,wasm_loader_find_block_addr-1,"set(['117', '7', '126'])",set([])
wasm_loader.c,wasm_loader_prepare_bytecode-18,"set(['3', '1267', '13', '330'])",set([])
wasm_loader.c,reserve_block_ret-0,"set(['102', '35'])",set([])
wasm_shared_memory.c,wasm_runtime_atomic_wait-0,"set(['4', '6'])",set([])
wasm_shared_memory.c,acquire_wait_info-2,set(['12']),set([])
ems_alloc.c,unlink_hmu-0,set(['16']),set([])
FinalResults,Total,173
